haskell-regex-posix 0.96.0.0-9
haskell-resourcet 1.2.4.2-76
haskell-roman-numerals 0.5.1.5-27
haskell-safe 0.3.19-5
haskell-safe-exceptions 0.1.7.1-66
haskell-scientific 0.3.6.2-98
haskell-semigroupoids 5.3.5-31
haskell-setenv 0.1.1.3-22
haskell-setlocale 1.0.0.10-1
haskell-sha 1.6.4.4-16
haskell-skylighting 0.10.5.1-3
haskell-skylighting-core 0.10.5.1-3
haskell-socks 0.6.1-104
haskell-split 0.2.3.4-126
haskell-splitmix 0.1.0.3-94
haskell-statevar 1.2.1-2
haskell-streaming-commons 0.2.2.1-74
haskell-strict 0.4.0.1-46
haskell-syb 0.7.2.1-41
haskell-tagged 0.8.6.1-2
haskell-tagsoup 0.14.8-107
haskell-temporary 1.3-244
haskell-texmath 0.12.2-8
haskell-text-conversions 0.3.1-62
haskell-text-icu 0.7.0.1-37
haskell-tf-random 0.5-278
haskell-th-abstraction 0.4.2.0-2
haskell-th-compat 0.1.2-7
haskell-th-lift 0.8.2-7
haskell-these 1.1.1.1-73
haskell-time-compat 1.9.5-46
haskell-timezone-olson 0.2.0-3
haskell-timezone-series 0.1.9-9
haskell-tls 1.5.5-18
haskell-transformers-base 0.4.5.2-143
haskell-transformers-compat 0.6.6-3
haskell-typed-process 0.2.6.0-108
haskell-unicode-transforms 0.3.7.1-57
haskell-uniplate 1.6.13-50
haskell-unliftio-core 0.2.0.1-6
haskell-unordered-containers 0.2.13.0-57
haskell-utf8-string 1.0.2-31
haskell-utility-ht 0.0.16-7
haskell-uuid-types 1.0.4-6
haskell-vector 0.12.2.0-55
haskell-vector-algorithms 0.8.0.4-46
haskell-void 0.7.3-84
haskell-x11 1.9.2-66
haskell-x11-xft 0.3.1-153
haskell-x509 1.7.5-138
haskell-x509-store 1.6.7-137
haskell-x509-system 1.6.6-205
haskell-x509-validation 1.6.11-137
haskell-xml 1.3.14-27
haskell-xml-conduit 1.9.1.0-13
haskell-xml-types 0.3.8-5
haskell-zip-archive 0.4.1-112
haskell-zlib 0.6.2.3-14
hddtemp 0.3.beta15.53-3
hdf5 1.12.0-2
